Timestamp|Ticks|FrameNumber|FPS
20170115_111741|17247|1|1.18741e-006

20170115_111741|17449|2|4.71698

20170115_111742|17548|3|9.61538

20170115_111742|17632|4|12.3457

20170115_111742|17711|5|12.3457

20170115_111742|17807|6|10.4167

20170115_111742|17904|7|10.7527

20170115_111742|17993|8|10.7527

20170115_111742|18097|9|10.4167

20170115_111742|18183|10|10.8696

20170115_111742|18275|11|10.7527

20170115_111742|18368|12|10.6383

20170115_111742|18463|13|10.5263

20170115_111743|18558|14|10.7527

20170115_111743|18651|15|10.5263

20170115_111743|18742|16|10.7527

20170115_111743|18838|17|10.6383

20170115_111743|19040|18|4.90196

20170115_111743|19112|19|14.2857

20170115_111743|19211|20|10.4167

20170115_111743|19291|21|12.0482

20170115_111743|19369|22|12.987

20170115_111743|19446|23|12.5

20170115_111744|19529|24|12.5

20170115_111744|19623|25|10.4167

20170115_111744|19703|26|12.5

20170115_111744|19783|27|12.5

20170115_111744|19869|28|11.6279

20170115_111744|19962|29|10.7527

20170115_111744|20057|30|10.7527

20170115_111744|20148|31|10.6383

20170115_111744|20245|32|10.6383

20170115_111744|20336|33|10.7527

20170115_111744|20445|34|10.5263

20170115_111745|20524|35|10.7527

20170115_111745|20628|36|10.6383

20170115_111745|20711|37|10.6383

20170115_111745|20805|38|10.8696

20170115_111745|20901|39|10.3093

20170115_111745|20993|40|10.8696

20170115_111745|21088|41|10.6383

20170115_111745|21182|42|10.6383

20170115_111745|21284|43|10.7527

20170115_111745|21372|44|10.6383

20170115_111745|21462|45|10.7527

20170115_111746|21556|46|10.5263

20170115_111746|21648|47|10.7527

20170115_111746|21742|48|10.6383

20170115_111746|21836|49|10.7527

20170115_111746|21929|50|10.6383

20170115_111746|22024|51|10.5263

20170115_111746|22118|52|10.6383

20170115_111746|22211|53|10.7527

20170115_111746|22315|54|9.80392

20170115_111746|22446|55|7.57576

20170115_111747|22511|56|16.6667

20170115_111747|22587|57|12.5

20170115_111747|22680|58|10.6383

20170115_111747|22774|59|10.6383

20170115_111747|22870|60|10.5263

20170115_111747|22962|61|10.7527

20170115_111747|23058|62|10.6383

20170115_111747|23151|63|10.7527

20170115_111747|23242|64|10.7527

20170115_111747|23337|65|10.6383

20170115_111747|23430|66|10.6383

20170115_111748|23524|67|10.6383

20170115_111748|23621|68|10.5263

20170115_111748|23714|69|10.7527

20170115_111748|23809|70|10.4167

20170115_111748|23901|71|10.989

20170115_111748|23995|72|10.7527

20170115_111748|24099|73|10

20170115_111748|24184|74|10.989

20170115_111748|24274|75|10.989

20170115_111748|24369|76|10.5263

20170115_111748|24461|77|10.8696

20170115_111749|24558|78|10.6383

20170115_111749|24668|79|10.5263

20170115_111749|24744|80|10.6383

20170115_111749|24837|81|10.7527

20170115_111749|24931|82|10.7527

20170115_111749|25024|83|10.6383

20170115_111749|25120|84|10.5263

20170115_111749|25212|85|10.7527

20170115_111749|25306|86|10.7527

20170115_111749|25403|87|10.5263

20170115_111750|25496|88|10.7527

20170115_111750|25585|89|10.7527

