TimeStamp|Ticks|FrameNum|FPS|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|angAtual|angDesejado|erroAng|
20170115_121612|34314|1|1.18739e-006||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121612|34495|2|4.29185||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121612|34654|3|6.62252||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121613|34807|4|6.21118||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121613|34981|5|5.68182||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121613|35143|6|6.21118||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121613|35319|7|5.71429||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121613|35491|8|6.21118||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121613|35638|9|6.28931||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121614|35813|10|5.71429||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121614|35975|11|6.21118||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121614|36151|12|5.71429||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121614|36316|13|6.21118||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121614|36478|14|6.17284||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121614|36648|15|5.74713||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121615|36823|16|6.25||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_121615|36992|17|5.64972||0|||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
