TimeStamp|Ticks|FrameNum|FPS|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|angAtual|angDesejado|erroAng|
20170115_124544|10875|1|0,000001||0||0|0|0|0||||||||
20170115_124544|11074|2|3,076923||0||0|0|0|0||||||||
20170115_124544|11175|3|10,526316||0||0|0|0|0||||||||
20170115_124544|11276|4|9,174312||0||0|0|0|0||||||||
20170115_124544|11407|5|7,874016||0||0|0|0|0||||||||
20170115_124544|11534|6|7,751938||0||0|0|0|0||||||||
20170115_124545|11676|7|6,993007||0||0|0|0|0||||||||
20170115_124545|11806|8|7,874016||0||0|0|0|0||||||||
20170115_124545|11934|9|7,692308||0||0|0|0|0||||||||
20170115_124545|12076|10|6,993007||0||0|0|0|0||||||||
20170115_124545|12205|11|7,812500||0||0|0|0|0||||||||
20170115_124545|12330|12|7,874016||0||0|0|0|0||||||||
20170115_124545|12476|13|6,849315||0||0|0|0|0||||||||
20170115_124546|12602|14|7,936508||0||0|0|0|0||||||||
20170115_124546|12731|15|7,812500||0||0|0|0|0||||||||
20170115_124546|12876|16|6,896552||0||0|0|0|0||||||||
20170115_124546|13005|17|7,812500||0||0|0|0|0||||||||
20170115_124546|13132|18|7,812500||0||0|0|0|0||||||||
20170115_124546|13278|19|6,944444||0||0|0|0|0||||||||
20170115_124546|13405|20|7,812500||0||0|0|0|0||||||||
20170115_124546|13531|21|7,812500||0||0|0|0|0||||||||
20170115_124547|13677|22|6,944444||0||0|0|0|0||||||||
20170115_124547|13809|23|7,874016||0||0|0|0|0||||||||
20170115_124547|13932|24|7,751938||0||0|0|0|0||||||||
20170115_124547|14074|25|6,993007||0||0|0|0|0||||||||
20170115_124547|14203|26|7,812500||0||0|0|0|0||||||||
20170115_124547|14337|27|7,812500||0||0|0|0|0||||||||
20170115_124547|14477|28|6,944444||0||0|0|0|0||||||||
20170115_124548|14607|29|7,692308||0||0|0|0|0||||||||
20170115_124548|14733|30|7,874016||0||0|0|0|0||||||||
20170115_124548|14879|31|6,896552||0||0|0|0|0||||||||
20170115_124548|15005|32|7,874016||0||0|0|0|0||||||||
20170115_124548|15133|33|7,874016||0||0|0|0|0||||||||
20170115_124548|15278|34|6,896552||0||0|0|0|0||||||||
20170115_124548|15405|35|7,874016||0||0|0|0|0||||||||
20170115_124548|15534|36|7,751938||0||0|0|0|0||||||||
20170115_124549|15677|37|6,944444||0||0|0|0|0||||||||
20170115_124549|15804|38|7,874016||0||0|0|0|0||||||||
20170115_124549|15932|39|7,812500||0||0|0|0|0||||||||
20170115_124549|16076|40|6,944444||0||0|0|0|0||||||||
20170115_124549|16206|41|7,751938||0||0|0|0|0||||||||
20170115_124549|16333|42|7,812500||0||0|0|0|0||||||||
20170115_124549|16476|43|6,993007||0||0|0|0|0||||||||
20170115_124550|16605|44|7,751938||0||0|0|0|0||||||||
20170115_124550|16733|45|7,812500||0||0|0|0|0||||||||
20170115_124550|16877|46|6,993007||0||0|0|0|0||||||||
20170115_124550|17008|47|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124550|17139|48|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124550|17278|49|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124550|17404|50|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124550|17534|51|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124551|17677|52|7,042254|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124551|17805|53|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124551|17945|54|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124551|18079|55|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124551|18212|56|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124551|18336|57|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124551|18485|58|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124552|18608|59|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124552|18733|60|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124552|18879|61|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124552|19006|62|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124552|19132|63|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124552|19276|64|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124552|19405|65|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124552|19536|66|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|19679|67|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|19807|68|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|19942|69|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|20078|70|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|20205|71|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|20333|72|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|20478|73|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|20606|74|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|20746|75|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|20891|76|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21013|77|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21145|78|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21280|79|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21408|80|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21535|81|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|21682|82|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|21814|83|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|21938|84|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
