TimeStamp | Ticks | FrameNum | FPS | LogaDados | Robo | achou | trajetoria | Xd | Yd | Xa | Ya | DistMelhorPonto | velAtual | velDesejada | erroVel | SaidaControleLinear | angAtual | angDesejado | erroAng | SaidaControleAngular | SinalDeControle1 | SinalDeControle2 | 
20170120_145457 | 133074 | 001 | 0.0000010 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 133941 | 002 | 0.9871670 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 134029 | 003 | 5.3475940 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 134126 | 004 | 10.526316 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 134219 | 005 | 10.638298 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 134311 | 006 | 10.752688 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 134426 | 007 | 8.6956520 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 134538 | 008 | 8.9285710 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 134649 | 009 | 8.8495580 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145458 | 134780 | 010 | 7.8125000 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 134891 | 011 | 8.9285710 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 135002 | 012 | 8.9285710 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 135114 | 013 | 8.9285710 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 135242 | 014 | 7.8740160 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 135353 | 015 | 8.9285710 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 135464 | 016 | 8.8495580 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 135597 | 017 | 7.8740160 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 135707 | 018 | 8.9285710 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145459 | 135821 | 019 | 8.8495580 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145500 | 135956 | 020 | 7.2992700 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145500 | 136060 | 021 | 9.7087380 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145500 | 136252 | 022 | 5.4054050 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145500 | 136327 | 023 | 12.195122 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145500 | 136410 | 024 | 11.904762 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145500 | 136523 | 025 | 8.8495580 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145500 | 136636 | 026 | 9.0090090 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
20170120_145500 | 136760 | 027 | 7.8125000 | 0 | ---------- | 0 | ------------------------ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |  | 
