TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170128_121023|91037|1|0,000001|0||0||0|0|0|0||||||||||||
20170128_121023|91179|2|6,993007|0||0||0|0|0|0||||||||||||
20170128_121023|91274|3|10,416667|0||0||0|0|0|0||||||||||||
20170128_121023|91375|4|10,638298|0||0||0|0|0|0||||||||||||
20170128_121023|91474|5|10,752688|0||0||0|0|0|0||||||||||||
20170128_121023|91571|6|10,526316|0||0||0|0|0|0||||||||||||
20170128_121023|91705|7|10,638298|0||0||0|0|0|0||||||||||||
20170128_121023|91796|8|7,092199|0||0||0|0|0|0||||||||||||
20170128_121024|91859|9|15,873016|0||0||0|0|0|0||||||||||||
20170128_121024|91931|10|13,157895|0||0||0|0|0|0||||||||||||
20170128_121024|92027|11|10,638298|0||0||0|0|0|0||||||||||||
20170128_121024|92086|12|15,625000|0||0||0|0|0|0||||||||||||
20170128_121024|92148|13|17,543860|0||0||0|0|0|0||||||||||||
20170128_121024|92224|14|14,925373|0||0||0|0|0|0||||||||||||
20170128_121024|92398|15|7,142857|0||0||0|0|0|0||||||||||||
20170128_121024|92491|16|7,194245|0||0||0|0|0|0||||||||||||
20170128_121024|92587|17|10,638298|0||0||0|0|0|0||||||||||||
20170128_121024|92680|18|10,526316|0||0||0|0|0|0||||||||||||
20170128_121024|92779|19|10,752688|0||0||0|0|0|0||||||||||||
20170128_121025|92880|20|10,638298|0||0||0|0|0|0||||||||||||
20170128_121025|92950|21|12,987013|0||0||0|0|0|0||||||||||||
20170128_121025|93011|22|15,625000|0||0||0|0|0|0||||||||||||
20170128_121025|93102|23|10,638298|0||0||0|0|0|0||||||||||||
20170128_121025|93197|24|10,638298|0||0||0|0|0|0||||||||||||
20170128_121025|93292|25|10,638298|0||0||0|0|0|0||||||||||||
20170128_121025|93383|26|10,638298|0||0||0|0|0|0||||||||||||
20170128_121025|93507|27|10,752688|0||0||0|0|0|0||||||||||||
20170128_121025|93573|28|10,526316|0||0||0|0|0|0||||||||||||
20170128_121025|93667|29|10,752688|0||0||0|0|0|0||||||||||||
20170128_121025|93776|30|10,869565|0||0||0|0|0|0||||||||||||
20170128_121026|93864|31|10,638298|0||0||0|0|0|0||||||||||||
20170128_121026|93963|32|10,526316|0||0||0|0|0|0||||||||||||
20170128_121026|94041|33|10,752688|0||0||0|0|0|0||||||||||||
20170128_121026|94131|34|10,638298|0||0||0|0|0|0||||||||||||
20170128_121026|94228|35|10,752688|0||0||0|0|0|0||||||||||||
20170128_121026|94320|36|10,638298|0||0||0|0|0|0||||||||||||
20170128_121026|94412|37|10,638298|0||0||0|0|0|0||||||||||||
20170128_121026|94506|38|10,752688|0||0||0|0|0|0||||||||||||
20170128_121026|94603|39|10,416667|0||0||0|0|0|0||||||||||||
20170128_121026|94697|40|10,752688|0||0||0|0|0|0||||||||||||
20170128_121026|94790|41|10,638298|0||0||0|0|0|0||||||||||||
20170128_121027|94882|42|10,752688|0||0||0|0|0|0||||||||||||
20170128_121027|94977|43|10,638298|0||0||0|0|0|0||||||||||||
20170128_121027|95070|44|10,638298|0||0||0|0|0|0||||||||||||
20170128_121027|95191|45|10,638298|0||0||0|0|0|0||||||||||||
20170128_121027|95310|46|7,246377|0||0||0|0|0|0||||||||||||
20170128_121027|95405|47|10,309278|0||0||0|0|0|0||||||||||||
20170128_121027|95494|48|10,752688|0||0||0|0|0|0||||||||||||
20170128_121027|95590|49|10,638298|0||0||0|0|0|0||||||||||||
20170128_121027|95680|50|10,752688|0||0||0|0|0|0||||||||||||
20170128_121027|95772|51|10,869565|0||0||0|0|0|0||||||||||||
20170128_121028|95866|52|10,526316|0||0||0|0|0|0||||||||||||
