TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170211_143429|22428|24|22.000000|1|CarroTeste|1|circulo_r60_xc160_yc120|209|154|212|157|4.242641|0.000000|0.000000|80.000000|80.000000|536.090168|2.231839|2.258835|0.026995|0.816987|27.664495|25.944522|
20170211_143429|22445|24|22.000000|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|4.242641|0.000000|0.000000|80.000000|80.000000|536.090168|2.231839|2.258835|0.026995|0.816987|27.664495|25.944522|
20170211_143429|22527|26|11.904762|1|CarroTeste|1|circulo_r60_xc160_yc120|209|154|212|157|4.242641|0.000000|0.000000|80.000000|80.000000|539.726531|2.231839|2.258835|0.026995|0.818214|27.847605|26.125048|
20170211_143429|22539|26|11.904762|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|4.242641|0.000000|0.000000|80.000000|80.000000|539.726531|2.231839|2.258835|0.026995|0.818214|27.847605|26.125048|
20170211_143429|22613|28|11.904762|1|CarroTeste|1|circulo_r60_xc160_yc120|209|154|212|157|4.242641|0.000000|0.000000|80.000000|80.000000|543.362895|2.231839|2.258835|0.026995|0.819442|28.030715|26.305575|
20170211_143429|22627|28|11.904762|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|4.242641|0.000000|0.000000|80.000000|80.000000|543.362895|2.231839|2.258835|0.026995|0.819442|28.030715|26.305575|
20170211_143429|22658|30|23.255814|1|CarroTeste|1|circulo_r60_xc160_yc120|209|154|212|158|5.000000|0.000000|9.053498|80.000000|70.946502|486.330622|2.231839|2.273982|0.042143|1.279084|25.662935|22.970127|
20170211_143429|22668|30|23.255814|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|5.000000|0.000000|9.053498|80.000000|70.946502|486.330622|2.231839|2.273982|0.042143|1.279084|25.662935|22.970127|
20170211_143430|22759|32|10.989011|1|CarroTeste|1|circulo_r60_xc160_yc120|209|154|212|158|5.000000|0.000000|0.000000|80.000000|80.000000|550.224100|2.137526|2.273982|0.136457|4.135318|31.864171|23.158239|
20170211_143430|22770|32|10.989011|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|5.000000|0.000000|0.000000|80.000000|80.000000|550.224100|2.137526|2.273982|0.136457|4.135318|31.864171|23.158239|
20170211_143430|22860|34|11.904762|1|CarroTeste|1|circulo_r60_xc160_yc120|207|157|211|160|5.000000|0.000000|20.244237|80.000000|59.755763|418.201260|2.356194|2.336814|-0.019381|-0.574734|20.305079|21.515046|
20170211_143430|22872|34|11.904762|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|5.000000|0.000000|20.244237|80.000000|59.755763|418.201260|2.356194|2.336814|-0.019381|-0.574734|20.305079|21.515046|
20170211_143430|22947|36|12.500000|1|CarroTeste|1|circulo_r60_xc160_yc120|207|157|210|160|4.242641|0.000000|9.053498|80.000000|70.946502|495.907997|2.245537|2.321667|0.076129|2.314901|27.232138|22.358662|
20170211_143430|22960|36|12.500000|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|4.242641|0.000000|9.053498|80.000000|70.946502|495.907997|2.245537|2.321667|0.076129|2.314901|27.232138|22.358662|
20170211_143430|23044|38|11.235955|1|CarroTeste|1|circulo_r60_xc160_yc120|206|158|209|162|5.000000|0.000000|20.244237|80.000000|59.755763|424.142272|2.356194|2.361947|0.005752|0.188467|21.405500|21.008727|
20170211_143430|23059|38|11.235955|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|5.000000|0.000000|20.244237|80.000000|59.755763|424.142272|2.356194|2.361947|0.005752|0.188467|21.405500|21.008727|
20170211_143430|23128|40|12.658228|1|CarroTeste|1|circulo_r60_xc160_yc120|205|159|208|163|5.000000|0.000000|12.803580|80.000000|67.196420|476.719233|2.231839|2.380796|0.148957|4.522668|28.596665|19.075259|
20170211_143430|23138|40|12.658228|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|5.000000|0.000000|12.803580|80.000000|67.196420|476.719233|2.231839|2.380796|0.148957|4.522668|28.596665|19.075259|
20170211_143430|23177|42|23.255814|1|CarroTeste|1|circulo_r60_xc160_yc120|204|160|207|164|5.000000|0.000000|12.803580|80.000000|67.196420|479.773616|2.356194|2.405929|0.049735|1.526580|25.595607|22.381755|
20170211_143430|23192|42|23.255814|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|5.000000|0.000000|12.803580|80.000000|67.196420|479.773616|2.356194|2.405929|0.049735|1.526580|25.595607|22.381755|
20170211_143430|23222|44|25.641026|1|CarroTeste|1|circulo_r60_xc160_yc120|204|160|207|164|5.000000|0.000000|0.000000|80.000000|80.000000|568.626412|2.356194|2.405929|0.049735|1.528840|30.040626|26.822015|
20170211_143430|23240|44|25.641026|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|5.000000|0.000000|0.000000|80.000000|80.000000|568.626412|2.356194|2.405929|0.049735|1.528840|30.040626|26.822015|
20170211_143430|23278|46|23.255814|1|CarroTeste|1|circulo_r60_xc160_yc120|204|160|207|164|5.000000|0.000000|0.000000|80.000000|80.000000|572.262775|2.356194|2.405929|0.049735|1.531101|30.224824|27.001454|
